	Gene	padj	FC	Tissue
321	RALYL	6.46e-140	0.321934015	Exc_Neuron
322	NDUFS1	8.72e-140	-0.305386854	Exc_Neuron
323	ERP29	1.18e-139	-0.933777415	Exc_Neuron
324	CCDC85B	1.28e-139	-0.394699978	Exc_Neuron
325	XRCC6	2.61e-139	-0.404113989	Exc_Neuron
326	C9orf16	3.95e-139	-0.309458158	Exc_Neuron
327	YWHAG	2.4499999999999998e-138	-0.311800994	Exc_Neuron
328	FAM213A	4.36e-138	-0.316299249	Exc_Neuron
329	UQCRFS1	7.89e-138	-0.647077137	Exc_Neuron
330	ATL1	1.62e-137	-0.282099791	Exc_Neuron
331	FIS1	4.03e-137	-0.756001909	Exc_Neuron
332	PTPRD	4.99e-137	0.332908285	Exc_Neuron
333	GABRA1	5.43e-137	-0.314446692	Exc_Neuron
334	GSTP1	6.55e-137	-0.937452009	Exc_Neuron
335	TOX4	7.059999999999999e-137	-0.539275705	Exc_Neuron
336	SRSF10	1.0599999999999999e-136	-0.375371866	Exc_Neuron
337	ATP5D	1.1e-136	-0.400807984	Exc_Neuron
338	PRDM2	1.57e-136	-0.227577119	Exc_Neuron
339	BAIAP2L2	1.7499999999999998e-136	-0.795551668	Exc_Neuron
340	NEGR1	4.1699999999999995e-136	0.355708093	Exc_Neuron
341	PPP1R7	7.17e-136	-0.358065876	Exc_Neuron
342	MTCH1	7.65e-136	-0.269334652	Exc_Neuron
343	TERF2IP	1.94e-135	-0.307351669	Exc_Neuron
344	EIF3K	2.4299999999999998e-135	-0.592725573	Exc_Neuron
345	NDUFV1	3.3499999999999996e-135	-0.392332804	Exc_Neuron
346	ACTR2	3.74e-135	-0.334630895	Exc_Neuron
347	CCDC12	3.81e-135	-0.64202309	Exc_Neuron
348	AURKAIP1	5.709999999999999e-135	-0.705690792	Exc_Neuron
349	RPS19	1.08e-134	-0.323999123	Exc_Neuron
350	ATP5F1	1.2499999999999998e-134	-0.552951695	Exc_Neuron
351	CAP2	1.2499999999999998e-134	-0.28796306	Exc_Neuron
352	RPL11	3.51e-134	-0.499978808	Exc_Neuron
353	CDC37	1.14e-133	-0.366134677	Exc_Neuron
354	TRMT112	1.19e-133	-0.505033759	Exc_Neuron
355	DNM1L	1.2200000000000001e-133	-0.305879581	Exc_Neuron
356	TCEAL3	1.34e-133	-0.589974796	Exc_Neuron
357	TTC1	1.41e-133	-0.345515345	Exc_Neuron
358	ARF1	1.47e-133	-0.303433569	Exc_Neuron
359	SYP	3.88e-133	-0.31120876	Exc_Neuron
360	GNB2L1	5.18e-133	-0.471911246	Exc_Neuron
361	C11orf58	5.53e-133	-0.276218568	Exc_Neuron
362	NRG3	6.14e-133	0.293335759	Exc_Neuron
363	DDX1	7.08e-133	-0.495960109	Exc_Neuron
364	NDUFB10	1.0200000000000001e-132	-0.66329679	Exc_Neuron
365	POP7	1.0600000000000001e-132	-1.024814434	Exc_Neuron
366	NDUFS3	1.1600000000000001e-132	-0.653397127	Exc_Neuron
367	NDFIP1	1.56e-132	-0.278454339	Exc_Neuron
368	KRAS	1.7000000000000002e-132	-0.509754197	Exc_Neuron
369	RPL24	2.2900000000000003e-132	-0.559729804	Exc_Neuron
370	ACYP1	2.5000000000000003e-132	-0.934174922	Exc_Neuron
371	RNPS1	3.1500000000000005e-132	-0.311108171	Exc_Neuron
372	PPM1K	3.25e-132	-0.296410421	Exc_Neuron
373	TPM3	3.8000000000000003e-132	-0.3490383	Exc_Neuron
374	ENO1	4.52e-132	-0.39287288	Exc_Neuron
375	RANBP1	5.2400000000000005e-132	-0.756518954	Exc_Neuron
